timestamp,Carrier,OriginCityName,OriginCountry,DestCityName,DestCountry,FlightTimeMin,AvgTicketPrice,Cancelled,FlightDelayType
"Oct 31, 2021 @ 21:25:39.000","ES-Air",Rome,IT,Shanghai,CN,"817.704","$624.45",false,"NAS Delay"
"Oct 31, 2021 @ 21:23:15.000","Kibana Airlines","San Juan",PR,Hyderabad,IN,"723.807","$841.68",false,"No Delay"
"Oct 31, 2021 @ 21:18:23.000","ES-Air",Osaka,JP,Bangalore,IN,"327.646","$1,015.35",true,"No Delay"
"Oct 31, 2021 @ 21:11:43.000",JetBeats,Copenhagen,DK,London,GB,"52.942","$788.07",false,"No Delay"
"Oct 31, 2021 @ 21:09:26.000","Kibana Airlines",Osaka,JP,"San Antonio",US,"992.871","$558.58",true,"No Delay"
"Oct 31, 2021 @ 21:08:04.000","Kibana Airlines",Cagliari,IT,"Mexico City",MX,"482.377","$725.66",false,"No Delay"
"Oct 31, 2021 @ 21:05:29.000","ES-Air",Tucson,US,Torino,IT,"726.459","$1,046.08",false,"No Delay"
"Oct 31, 2021 @ 21:02:14.000","ES-Air",Paris,FR,Mumbai,IN,"466.764","$889.62",false,"No Delay"
"Oct 31, 2021 @ 21:02:14.000","Kibana Airlines",Palermo,IT,Lima,PE,"834.318","$867.84",false,"No Delay"
"Oct 31, 2021 @ 20:57:35.000",JetBeats,Indianapolis,US,Tokyo,JP,"834.431","$1,022.73",false,"Carrier Delay"
"Oct 31, 2021 @ 20:57:17.000","Kibana Airlines",Warsaw,PL,Warsaw,PL,300,"$436",true,"NAS Delay"
"Oct 31, 2021 @ 20:54:54.000",JetBeats,Munich,DE,Moscow,RU,"467.368","$992.28",false,"Late Aircraft Delay"
"Oct 31, 2021 @ 20:50:27.000","Logstash Airways",Manchester,GB,Venice,IT,"244.49","$1,076.43",false,"NAS Delay"
"Oct 31, 2021 @ 20:41:37.000",JetBeats,Greenville,US,Indianapolis,US,"35.861","$410.75",false,"No Delay"
"Oct 31, 2021 @ 20:31:46.000","Logstash Airways",Catania,IT,Genova,IT,"214.064","$232.33",false,"Security Delay"
"Oct 31, 2021 @ 20:30:52.000","ES-Air",Seoul,KR,London,GB,"632.285","$958.62",false,"No Delay"
"Oct 31, 2021 @ 20:28:58.000","Logstash Airways",Rochester,US,Moscow,RU,"469.534","$677.41",false,"No Delay"
"Oct 31, 2021 @ 20:25:39.000","Kibana Airlines",Osaka,JP,Johannesburg,ZA,"936.918","$1,051.49",false,"No Delay"
"Oct 31, 2021 @ 20:24:17.000","Logstash Airways",Stockholm,SE,Washington,US,"474.836","$1,192.43",true,"No Delay"
"Oct 31, 2021 @ 20:16:30.000",JetBeats,"Mexico City",MX,Venice,IT,"717.814","$855.05",false,"No Delay"
"Oct 31, 2021 @ 20:13:24.000",JetBeats,Manchester,GB,"Buenos Aires",AR,"1,129.428","$1,197.72",false,"NAS Delay"
"Oct 31, 2021 @ 20:13:24.000","ES-Air",Bari,IT,London,GB,"236.463","$520.57",false,"Carrier Delay"
"Oct 31, 2021 @ 20:12:26.000","Kibana Airlines",Hyderabad,IN,Stockholm,SE,"643.572","$648.37",false,"Late Aircraft Delay"
"Oct 31, 2021 @ 19:51:35.000","Kibana Airlines","Xi'an",CN,"Xi'an",CN,60,"$339.88",false,"Carrier Delay"
"Oct 31, 2021 @ 19:41:52.000","ES-Air",Melbourne,AU,Tokyo,JP,"541.596","$1,139.5",false,"No Delay"
"Oct 31, 2021 @ 19:32:32.000",JetBeats,Vienna,AT,Vienna,AT,255,"$341.27",false,"NAS Delay"
"Oct 31, 2021 @ 19:32:06.000","ES-Air",Madrid,ES,Milan,IT,"142.28","$905.01",false,"Security Delay"
"Oct 31, 2021 @ 19:31:50.000","Logstash Airways","Xi'an",CN,Zurich,CH,"663.699","$830.67",false,"No Delay"
"Oct 31, 2021 @ 19:26:14.000","ES-Air",Johannesburg,ZA,Stockholm,SE,"912.175","$618.23",true,"NAS Delay"
"Oct 31, 2021 @ 19:22:04.000","Kibana Airlines",Guangzhou,CN,Pisa,IT,"590.233","$850.93",false,"NAS Delay"
"Oct 31, 2021 @ 19:22:04.000","ES-Air","Mexico City",MX,Stockholm,SE,"531.634","$985.76",true,"No Delay"
"Oct 31, 2021 @ 19:15:02.000","Logstash Airways",Ottawa,CA,Venice,IT,"465.008","$1,149.73",false,"No Delay"
"Oct 31, 2021 @ 19:15:02.000","Kibana Airlines",Edmonton,CA,Seoul,KR,"399.474","$1,134.19",false,"No Delay"
"Oct 31, 2021 @ 19:11:38.000","Logstash Airways",Brisbane,AU,Zurich,CH,"1,489.685","$812.67",false,"NAS Delay"
"Oct 31, 2021 @ 19:04:25.000",JetBeats,Nashville,US,Washington,US,"268.175","$224.89",true,"NAS Delay"
"Oct 31, 2021 @ 18:56:47.000","Kibana Airlines",Saginaw,US,Stockholm,SE,"327.792","$857.59",true,"No Delay"
"Oct 31, 2021 @ 18:54:23.000","Logstash Airways",Palermo,IT,Venice,IT,"58.312","$368.35",false,"No Delay"
"Oct 31, 2021 @ 18:52:40.000","Kibana Airlines",Seoul,KR,"Buenos Aires",AR,"974.133","$863.83",false,"No Delay"
"Oct 31, 2021 @ 18:44:39.000",JetBeats,"Buenos Aires",AR,Tokyo,JP,"966.232","$672.09",false,"No Delay"
"Oct 31, 2021 @ 18:44:26.000",JetBeats,"Raleigh/Durham",US,Verona,IT,"518.596","$509.96",false,"No Delay"
"Oct 31, 2021 @ 18:36:33.000","Kibana Airlines",Greenville,US,"New York",US,"57.569","$368.9",true,"No Delay"
"Oct 31, 2021 @ 18:36:02.000",JetBeats,Madrid,ES,Dublin,IE,"376.165","$683.96",false,"Security Delay"
"Oct 31, 2021 @ 18:32:20.000","ES-Air",Phoenix,US,Belogorsk,RU,"616.246","$1,160.08",false,"Carrier Delay"
"Oct 31, 2021 @ 18:25:16.000","ES-Air",Shanghai,CN,Treviso,IT,"636.491","$1,058.97",false,"No Delay"
"Oct 31, 2021 @ 18:23:07.000","Logstash Airways",Seoul,KR,"Buenos Aires",AR,"1,397.37","$1,008.56",false,"Security Delay"
"Oct 31, 2021 @ 18:12:27.000","ES-Air",Adelaide,AU,"San Juan",PR,"883.809","$972.97",false,"Carrier Delay"
"Oct 31, 2021 @ 18:05:00.000","Logstash Airways",Treviso,IT,Warsaw,PL,"48.379","$1,114.56",false,"No Delay"
"Oct 31, 2021 @ 18:04:20.000","Kibana Airlines","Frankfurt am Main",DE,Lima,PE,"669.882","$1,133.22",false,"No Delay"
"Oct 31, 2021 @ 18:04:20.000","Logstash Airways",Bogota,CO,Durban,ZA,"1,053.712","$500.05",false,"Carrier Delay"
"Oct 31, 2021 @ 17:54:10.000",JetBeats,"Raleigh/Durham",US,Warsaw,PL,"640.935","$869.76",true,"NAS Delay"
"Oct 31, 2021 @ 17:25:58.000","Logstash Airways",Tucson,US,Torino,IT,"875.248","$1,152.16",false,"Carrier Delay"
"Oct 31, 2021 @ 17:06:18.000","Logstash Airways",Osaka,JP,Toronto,CA,"505.694","$665.92",true,"No Delay"
"Oct 31, 2021 @ 16:59:41.000","Kibana Airlines",Amsterdam,NL,Beijing,CN,"654.028","$910.65",false,"No Delay"
"Oct 31, 2021 @ 16:53:53.000","ES-Air",Tucson,US,Torino,IT,"779.713","$901.67",false,"Late Aircraft Delay"
"Oct 31, 2021 @ 16:47:29.000","Kibana Airlines",Winnipeg,CA,Winnipeg,CA,30,"$294.18",false,"NAS Delay"
"Oct 31, 2021 @ 16:41:21.000","ES-Air",Venice,IT,Zurich,CH,"19.169","$715.05",false,"No Delay"
"Oct 31, 2021 @ 16:24:32.000","Logstash Airways",London,GB,Ottawa,CA,"314.687","$977.91",false,"No Delay"
"Oct 31, 2021 @ 16:18:53.000","Logstash Airways","Chitose / Tomakomai",JP,Verona,IT,"649.681","$1,125.27",false,"NAS Delay"
"Oct 31, 2021 @ 16:07:21.000","Kibana Airlines",Vienna,AT,Winnipeg,CA,"371.812","$1,139.98",false,"No Delay"
"Oct 31, 2021 @ 15:54:16.000",JetBeats,Bari,IT,Shanghai,CN,"740.19","$1,122.89",false,"No Delay"
"Oct 31, 2021 @ 15:50:55.000","Kibana Airlines",Stockholm,SE,Venice,IT,"77.019","$611.66",false,"No Delay"
"Oct 31, 2021 @ 15:50:43.000","ES-Air",Lima,PE,Zurich,CH,"969.274","$767.11",false,"No Delay"
"Oct 31, 2021 @ 15:41:05.000","Kibana Airlines",London,GB,Milan,IT,"302.899","$624.47",false,"Late Aircraft Delay"
"Oct 31, 2021 @ 15:34:47.000","Logstash Airways","San Juan",PR,Shanghai,CN,"803.053","$605.58",false,"No Delay"
"Oct 31, 2021 @ 15:29:13.000","Logstash Airways",Portland,US,Seattle,US,"12.234","$481.45",false,"No Delay"
"Oct 31, 2021 @ 15:23:21.000","Logstash Airways",Oslo,NO,Syracuse,US,"389.259","$808.49",true,"No Delay"
"Oct 31, 2021 @ 15:19:47.000","Kibana Airlines",Bogota,CO,"San Juan",PR,"146.594","$971.26",false,"No Delay"
"Oct 31, 2021 @ 15:19:23.000","Logstash Airways",Santiago,CL,Louisville,US,"538.646","$842.72",false,"Weather Delay"
"Oct 31, 2021 @ 15:19:12.000",JetBeats,Shanghai,CN,Torino,IT,"788.765","$1,041.77",false,"Late Aircraft Delay"
"Oct 31, 2021 @ 15:15:36.000","Logstash Airways",Quito,EC,Melbourne,AU,"1,266.014","$1,039.09",false,"No Delay"
"Oct 31, 2021 @ 15:13:16.000","ES-Air",Sydney,AU,"Xi'an",CN,"438.464","$849.5",false,"No Delay"
"Oct 31, 2021 @ 14:56:17.000","ES-Air",Chengdu,CN,Rome,IT,"378.557","$575.24",true,"No Delay"
"Oct 31, 2021 @ 14:54:27.000","Kibana Airlines","Jebel Ali",AE,Shanghai,CN,"463.862","$921.26",false,"No Delay"
"Oct 31, 2021 @ 14:46:40.000",JetBeats,Hyderabad,IN,"Salt Lake City",US,"1,124.342","$886.85",false,"No Delay"
"Oct 31, 2021 @ 14:46:38.000",JetBeats,Palermo,IT,Verona,IT,"54.829","$297.38",false,"No Delay"
"Oct 31, 2021 @ 14:42:54.000","Kibana Airlines",Osaka,JP,Vienna,AT,"601.811","$980.08",false,"No Delay"
